filename,image_url,true_class,critical_hazard,property_type,property_age,region
Animal-Damage_jpeg.rf.674aa6bfccd894b1b4006040a3973a87.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/Animal-Damage_jpeg.rf.674aa6bfccd894b1b4006040a3973a87.jpg,Structural Crack,true,,,
Screenshot-2023-11-16-12-21-38_png.rf.2d0d3c0263cadd109c5749128e90581f.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/Screenshot-2023-11-16-12-21-38_png.rf.2d0d3c0263cadd109c5749128e90581f.jpg,Water Damage,false,,,
22-1405376584805_jpeg_jpg.rf.02acb678e9478bdc9350bc92f2e443e0.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/22-1405376584805_jpeg_jpg.rf.02acb678e9478bdc9350bc92f2e443e0.jpg,Mold,false,,,
6-background-cracked-multilayer-paint-rusty-metal-wall-small-texture-copy-space-228658281_jpg.rf.61e03d9b4621d443908376f187d8ead0.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/6-background-cracked-multilayer-paint-rusty-metal-wall-small-texture-copy-space-228658281_jpg.rf.61e03d9b4621d443908376f187d8ead0.jpg,Corrosion,true,,,
Screenshot-2023-11-08-20-45-06_png.rf.08f77f26f1dd0c05b4660b3e45a30ba7.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/Screenshot-2023-11-08-20-45-06_png.rf.08f77f26f1dd0c05b4660b3e45a30ba7.jpg,Water Damage,false,,,
183_jpg.rf.510fb4a13301365c97f2b981662262eb.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/183_jpg.rf.510fb4a13301365c97f2b981662262eb.jpg,Safe,false,,,
Screenshot-2023-11-14-10-13-47_png.rf.3e130f91383729271f1f22697b073055.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/Screenshot-2023-11-14-10-13-47_png.rf.3e130f91383729271f1f22697b073055.jpg,Water Damage,false,,,
videoplayback23123_480_jpg.rf.e189cc3646ede91bbb364b64d8df2505.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/videoplayback23123_480_jpg.rf.e189cc3646ede91bbb364b64d8df2505.jpg,Water Damage,false,,,
00340-3093835349-window-in-a-brick-wall_png_jpg.rf.641ca1153993a58774f19beb55e3fe8a.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/00340-3093835349-window-in-a-brick-wall_png_jpg.rf.641ca1153993a58774f19beb55e3fe8a.jpg,Safe,false,,,
pipe14_jpeg_jpg.rf.ef3b1cde36d08fa638363c3817264760.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/pipe14_jpeg_jpg.rf.ef3b1cde36d08fa638363c3817264760.jpg,Structural Crack,true,,,
videoplayback23123_450_jpg.rf.d444b9f58742a9f72a005975d0607534.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/videoplayback23123_450_jpg.rf.d444b9f58742a9f72a005975d0607534.jpg,Water Damage,false,,,
Gesesa-2_jpg.rf.8fc071738ffbc4244f05a0bd906161a2.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/Gesesa-2_jpg.rf.8fc071738ffbc4244f05a0bd906161a2.jpg,Water Damage,false,,,
photo-1756293530026_jpg.rf.9d890b6c0736c492ffefd2b4285ebda5.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/photo-1756293530026_jpg.rf.9d890b6c0736c492ffefd2b4285ebda5.jpg,Safe,false,,,
t1_jpg.rf.494e98851cff997bee85c7313f3cc3d2.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/t1_jpg.rf.494e98851cff997bee85c7313f3cc3d2.jpg,Water Damage,false,,,
184_jpg.rf.292364fee68f9da9437ecf0cb43a060d.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/184_jpg.rf.292364fee68f9da9437ecf0cb43a060d.jpg,Safe,false,,,
videoplayback_12000_jpg.rf.d42754c7e7e4873757851ee04af72781.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/videoplayback_12000_jpg.rf.d42754c7e7e4873757851ee04af72781.jpg,Water Damage,false,,,
Screenshot-2023-11-08-20-39-22_png.rf.a4bd7db9377a8335ab98e680930368ad.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/Screenshot-2023-11-08-20-39-22_png.rf.a4bd7db9377a8335ab98e680930368ad.jpg,Water Damage,false,,,
pipe-18_jpeg_jpg.rf.e9a42f08ff602e3b45b591e4d435520d.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/pipe-18_jpeg_jpg.rf.e9a42f08ff602e3b45b591e4d435520d.jpg,Structural Crack,true,,,
00332-3093835341-window-in-a-brick-wall_png_jpg.rf.3786eaa6aebde745334e740bad2dbbd6.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/00332-3093835341-window-in-a-brick-wall_png_jpg.rf.3786eaa6aebde745334e740bad2dbbd6.jpg,Safe,false,,,
img4-11467-com_2021_02-25_2367350591_jpg.rf.969bc2f42d314f4272d2c197b0576052.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/img4-11467-com_2021_02-25_2367350591_jpg.rf.969bc2f42d314f4272d2c197b0576052.jpg,Water Damage,false,,,
00330-3093835339-window-in-a-brick-wall_png_jpg.rf.5a69b88e1a4433830ac8d4ffd55a4d86.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/00330-3093835339-window-in-a-brick-wall_png_jpg.rf.5a69b88e1a4433830ac8d4ffd55a4d86.jpg,Safe,false,,,
72-post-katrina_mold_in_house_on_dublin_street_carrollton_new_orleans_jpg.rf.c612ff338a92ca94f88d75c0d6744b4e.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/72-post-katrina_mold_in_house_on_dublin_street_carrollton_new_orleans_jpg.rf.c612ff338a92ca94f88d75c0d6744b4e.jpg,Mold,false,,,
24-small-stain-2_jpeg_jpg.rf.705df80f9f3def144f924179ece2d251.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/24-small-stain-2_jpeg_jpg.rf.705df80f9f3def144f924179ece2d251.jpg,Stain,false,,,
18-why-do-cracked-walls-happen_jpg.rf.bbe822af4640218159b6a4a2e86a7ca6.jpg,https://ukrjudtlvapiajkjbcrd.supabase.co/storage/v1/object/public/training-images/18-why-do-cracked-walls-happen_jpg.rf.bbe822af4640218159b6a4a2e86a7ca6.jpg,Structural Crack,true,,,
